,id,data_inversa,dia_semana,uf,municipio,tipo_acidente,classificacao_acidente,tipo_envolvido,estado_fisico,idade,sexo,feridos_graves,mortos
0,22,01/01/2017,domingo,CE,FORTALEZA,Tombamento,Com Vítimas Feridas,Condutor,Lesões Leves,43.0,Masculino,0,0
1,22,01/01/2017,domingo,CE,FORTALEZA,Tombamento,Com Vítimas Feridas,Passageiro,Lesões Leves,41.0,Feminino,0,0
2,80,01/01/2017,domingo,CE,FORTALEZA,Colisão transversal,Com Vítimas Feridas,Condutor,Lesões Leves,64.0,Masculino,0,0
3,91,01/01/2017,domingo,CE,CAUCAIA,Colisão lateral,Com Vítimas Feridas,Condutor,Ileso,45.0,Masculino,0,0
4,91,01/01/2017,domingo,CE,CAUCAIA,Colisão lateral,Com Vítimas Feridas,Condutor,Lesões Leves,57.0,Masculino,0,0
5,181,01/01/2017,domingo,CE,JAGUARIBE,Capotamento,Com Vítimas Feridas,Condutor,Lesões Leves,63.0,Masculino,0,0
6,181,01/01/2017,domingo,CE,JAGUARIBE,Colisão com objeto estático,Com Vítimas Feridas,Condutor,Lesões Leves,63.0,Masculino,0,0
7,181,01/01/2017,domingo,CE,JAGUARIBE,Saída de leito carroçável,Com Vítimas Feridas,Condutor,Lesões Leves,63.0,Masculino,0,0
8,181,01/01/2017,domingo,CE,JAGUARIBE,Capotamento,Com Vítimas Feridas,Passageiro,Lesões Leves,46.0,Feminino,0,0
9,181,01/01/2017,domingo,CE,JAGUARIBE,Colisão com objeto estático,Com Vítimas Feridas,Passageiro,Lesões Leves,46.0,Feminino,0,0
10,181,01/01/2017,domingo,CE,JAGUARIBE,Saída de leito carroçável,Com Vítimas Feridas,Passageiro,Lesões Leves,46.0,Feminino,0,0
11,264,01/01/2017,domingo,CE,ARACATI,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,23.0,Masculino,0,0
12,264,01/01/2017,domingo,CE,ARACATI,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,26.0,Masculino,0,0
13,264,01/01/2017,domingo,CE,ARACATI,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,8.0,Masculino,0,0
14,264,01/01/2017,domingo,CE,ARACATI,Atropelamento de Animal,Sem Vítimas,Condutor,Ileso,25.0,Feminino,0,0
15,264,01/01/2017,domingo,CE,ARACATI,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,24.0,Feminino,0,0
16,266,01/01/2017,domingo,CE,LIMOEIRO DO NORTE,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,40.0,Feminino,0,0
17,266,01/01/2017,domingo,CE,LIMOEIRO DO NORTE,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,13.0,Masculino,0,0
18,266,01/01/2017,domingo,CE,LIMOEIRO DO NORTE,Atropelamento de Animal,Sem Vítimas,Passageiro,Ileso,62.0,Feminino,0,0
19,266,01/01/2017,domingo,CE,LIMOEIRO DO NORTE,Atropelamento de Animal,Sem Vítimas,Condutor,Ileso,49.0,Masculino,0,0
20,337,01/01/2017,domingo,CE,ICO,Incêndio,Com Vítimas Fatais,Condutor,Lesões Graves,29.0,Masculino,1,0
21,337,01/01/2017,domingo,CE,ICO,Saída de leito carroçável,Com Vítimas Fatais,Condutor,Lesões Graves,29.0,Masculino,1,0
22,337,01/01/2017,domingo,CE,ICO,Incêndio,Com Vítimas Fatais,Passageiro,Óbito,22.0,Masculino,0,1
23,337,01/01/2017,domingo,CE,ICO,Saída de leito carroçável,Com Vítimas Fatais,Passageiro,Óbito,22.0,Masculino,0,1
24,345,02/01/2017,segunda-feira,CE,CAUCAIA,Queda de ocupante de veículo,Com Vítimas Feridas,Condutor,Lesões Leves,39.0,Masculino,0,0
25,492,02/01/2017,segunda-feira,CE,ARACATI,Tombamento,Sem Vítimas,Condutor,Ileso,35.0,Masculino,0,0
26,492,02/01/2017,segunda-feira,CE,ARACATI,Tombamento,Sem Vítimas,Condutor,Ileso,37.0,Masculino,0,0
27,519,02/01/2017,segunda-feira,CE,CAUCAIA,Saída de leito carroçável,Sem Vítimas,Condutor,Ileso,67.0,Feminino,0,0
28,524,02/01/2017,segunda-feira,CE,FORTALEZA,Colisão traseira,Sem Vítimas,Condutor,Ileso,33.0,Masculino,0,0
29,527,02/01/2017,segunda-feira,CE,MARACANAU,Colisão transversal,Com Vítimas Feridas,Condutor,Ileso,31.0,Masculino,0,0
30,527,02/01/2017,segunda-feira,CE,MARACANAU,Colisão transversal,Com Vítimas Feridas,Condutor,Lesões Graves,44.0,Masculino,1,0
31,561,02/01/2017,segunda-feira,CE,FORTALEZA,Colisão lateral,Com Vítimas Feridas,Condutor,Lesões Leves,22.0,Masculino,0,0
32,561,02/01/2017,segunda-feira,CE,FORTALEZA,Colisão lateral,Com Vítimas Feridas,Condutor,Ileso,48.0,Masculino,0,0
33,561,02/01/2017,segunda-feira,CE,FORTALEZA,Colisão lateral,Com Vítimas Feridas,Passageiro,Lesões Leves,19.0,Masculino,0,0
34,576,02/01/2017,segunda-feira,CE,SOBRAL,Danos eventuais,Com Vítimas Feridas,Condutor,Ileso,40.0,Masculino,0,0
35,576,02/01/2017,segunda-feira,CE,SOBRAL,Danos eventuais,Com Vítimas Feridas,Condutor,Lesões Leves,24.0,Masculino,0,0
36,594,02/01/2017,segunda-feira,CE,CAUCAIA,Saída de leito carroçável,Com Vítimas Feridas,Condutor,Lesões Leves,36.0,Masculino,0,0
37,594,02/01/2017,segunda-feira,CE,CAUCAIA,Saída de leito carroçável,Com Vítimas Feridas,Condutor,Lesões Leves,36.0,Masculino,0,0
38,594,02/01/2017,segunda-feira,CE,CAUCAIA,Colisão com objeto estático,Com Vítimas Feridas,Condutor,Lesões Leves,36.0,Masculino,0,0
39,594,02/01/2017,segunda-feira,CE,CAUCAIA,Colisão com objeto estático,Com Vítimas Feridas,Condutor,Lesões Leves,36.0,Masculino,0,0
